"","team_name","ownCarries","awayCarries","ownYards","awayYards","ownYPC","awayYPC"
"1","New Orleans Saints",4247,4345,17825,19886,4.1970802919708,4.57675489067894
"2","Carolina Panthers",4966,4388,22133,18232,4.45690696737817,4.15496809480401
"3","Atlanta Falcons",4450,4372,17961,19350,4.0361797752809,4.42589204025618
"4","Miami Dolphins",4241,4628,17865,19307,4.21244989389295,4.17178046672429
"5","Denver Broncos",4722,4742,19712,19885,4.17450232952139,4.19337832138338
"6","Philadelphia Eagles",4501,4536,20337,18424,4.51832926016441,4.06172839506173
"7","Pittsburgh Steelers",4713,4120,19165,15714,4.0664120517717,3.81407766990291
"8","New England Patriots",5131,4609,21072,19297,4.1068017930228,4.186808418312
"9","Tennessee Titans",4433,4433,19000,17948,4.28603654410106,4.04872546808031
"10","Kansas City Chiefs",4586,4732,20270,21216,4.41997383340602,4.48351648351648
"11","Chicago Bears",4245,4342,17213,18519,4.05488810365135,4.26508521418701
"12","Tampa Bay Buccaneers",4200,4572,17466,19244,4.15857142857143,4.20909886264217
"13","Detroit Lions",3828,4353,15051,19259,3.93181818181818,4.42430507695842
"14","New York Giants",4605,4471,18960,18710,4.11726384364821,4.18474614180273
"15","Baltimore Ravens",4988,4563,20097,16583,4.02906976744186,3.6342318650011
"16","Arizona Cardinals",4052,4547,15601,18740,3.85019743336624,4.12139872443369
"17","San Francisco 49ers",4582,4638,20209,18000,4.41051942383239,3.88098318240621
"18","Houston Texans",4861,4288,19924,17849,4.09874511417404,4.16254664179105
"19","Indianapolis Colts",4302,4896,16455,21562,3.82496513249651,4.40400326797386
"20","Buffalo Bills",4494,4698,20218,21344,4.49888740542946,4.54320987654321
"21","Cincinnati Bengals",4667,4391,18294,18308,3.91986286693808,4.16943748576634
"22","Green Bay Packers",4666,4588,19755,20124,4.23381911701672,4.38622493461203
"23","Seattle Seahawks",4953,4663,21382,18301,4.31697960831819,3.92472657087712
"24","Dallas Cowboys",4364,4142,19374,17517,4.43950504124656,4.22911636890391
"25","Minnesota Vikings",4706,4228,21726,16417,4.61665958351041,3.88292336802271
"26","Oakland Raiders",4323,4719,18481,20910,4.27504048114735,4.43102352193261
"27","New York Jets",5010,4476,21316,17143,4.25469061876248,3.82998212689902
"28","San Diego Chargers",4516,4387,17298,18473,3.8303808680248,4.21085023934351
"29","Washington Redskins",4369,4266,18640,18053,4.26642252231632,4.23183309892171
"30","St. Louis Rams",3730,4120,15262,17874,4.0916890080429,4.33834951456311
"31","Cleveland Browns",4126,4921,16709,21528,4.0496849248667,4.3747205852469
"32","Jacksonville Jaguars",4289,4643,18140,18786,4.22942410818373,4.04609088951109
"33","Los Angeles Rams",375,424,1252,1660,3.33866666666667,3.91509433962264
